item_id,contenido,dificultad,discriminacion,adivinacion
17,"{'item_id': 17, 'contenido': '¿Qué comando se usa para ejecutar un archivo compilado?', 'clave_correcta': './ejecutable', 'distractores': ['run ejecutable', 'execute ejecutable', 'start ejecutable']}",0.48,0.26,0.06
18,"{'item_id': 18, 'contenido': ""¿Cómo se usa la estructura 'switch' en C++?"", 'clave_correcta': 'switch(variable) { case valor1: /* código */ break; ... }', 'distractores': ['switch(variable) { if(valor1) { } }', 'switch { case valor1: /* código */ }', 'switch(variable) => { case valor1: /* código */ }']}",0.6,0.9,0.16
19,"{'item_id': 19, 'contenido': '¿Qué es una biblioteca y cómo se incluye en C++?', 'clave_correcta': 'Un conjunto de funciones y se incluye usando #include', 'distractores': ['Un tipo de variable y se declara con var', 'Un comentario y se escribe con //', 'Una clase y se define con class']}",0.92,0.23,0.2
20,"{'item_id': 20, 'contenido': '¿Qué tipo de datos se usa para almacenar texto en C++?', 'clave_correcta': 'std::string', 'distractores': ['char', 'int', 'float']}",0.24,0.81,0.24
21,"{'item_id': 21, 'contenido': '¿Cómo se define un arreglo en C++?', 'clave_correcta': 'tipo nombreArreglo[tamaño];', 'distractores': ['tipo nombreArreglo();', 'arreglo tipo nombreArreglo[tamaño];', 'tipo[] nombreArreglo = {};']}",0.73,0.31,0.2
22,"{'item_id': 22, 'contenido': ""¿Qué es el 'heap' y el 'stack' en la memoria de C++?"", 'clave_correcta': 'Áreas de memoria para almacenamiento dinámico y automático, respectivamente', 'distractores': ['Dos tipos de variables', 'Funciones especiales para gestionar memoria', 'Nombres alternativos para punteros y referencias']}",0.37,0.23,0.04
23,"{'item_id': 23, 'contenido': ""¿Para qué sirve el comando 'make' en C++?"", 'clave_correcta': 'Automatizar la compilación del programa', 'distractores': ['Ejecutar el programa', 'Depurar el código', 'Instalar bibliotecas']}",0.95,0.79,0.05
24,"{'item_id': 24, 'contenido': '¿Cómo se inicializa una variable con un valor en su declaración?', 'clave_correcta': 'tipo nombre = valor;', 'distractores': ['tipo nombre;', 'nombre = valor;', 'tipo = valor;']}",0.79,0.25,0.07
25,"{'item_id': 25, 'contenido': '¿Qué es una clase en C++?', 'clave_correcta': 'Una plantilla para crear objetos que encapsula datos y funciones', 'distractores': ['Una función especial', 'Una variable global', 'Una biblioteca estándar']}",0.9,0.92,0.02
26,"{'item_id': 26, 'contenido': '¿Cómo se crea un objeto de una clase en C++?', 'clave_correcta': 'Clase nombreObjeto;', 'distractores': ['new Clase();', 'Clase::crearObjeto();', 'crear Clase nombreObjeto;']}",0.78,0.84,0.24
27,"{'item_id': 27, 'contenido': '¿Qué es una función recursiva y cómo se declara en C++?', 'clave_correcta': 'Una función que se llama a sí misma, declarada como cualquier otra función', 'distractores': ['Una función que nunca termina, declarada con while', 'Una función que retorna múltiples valores, declarada con array', 'Una función interna, declarada dentro de otra función']}",0.4,0.85,0.05
28,"{'item_id': 28, 'contenido': ""¿Qué hace el operador '&&' en una expresión lógica?"", 'clave_correcta': 'Realiza una operación AND lógica', 'distractores': ['Realiza una operación OR lógica', 'Realiza una operación NOT lógica', 'Concatena cadenas']}",0.61,0.43,0.11
29,"{'item_id': 29, 'contenido': '¿Cómo se define un puntero en C++ y qué representa?', 'clave_correcta': 'tipo* nombrePuntero; representa la dirección de una variable', 'distractores': ['tipo& nombrePuntero; representa una referencia', 'tipo nombrePuntero; representa una copia de la variable', 'tipo** nombrePuntero; representa un puntero doble']}",0.84,0.43,0.21
